"phenotype","risk_score","t","p","adj.r","t_w_prs","p_w_prs","adj.r_prs","anova_p","AIC","AIC_w_prs","prs_ad_t","prs_ad_p","p_adj","p_prs_adj"
"cvda_4gp2","LOEUF (DUP)",-1.10903288176015,0.26768697108942,NA,"-1.11648428485493","0.264487724185093",NA,NA,"2466.14838859072","2467.7366691523",NA,NA,0.494191331242006,0.488285029264787
"cvda_4gp2","pHI",4.59205326744774,4.95758297433892e-06,"0.0359801583866909","4.59408543204913","4.91112978495621e-06","0.0355285372462628","0.462925280766616","2464.07591368157","2465.60153387692","0.734325862691333","0.4629252807666",0.000139469646077863,0.000133441296619938
"cvda_4gp2","pTS",-1.84792100442739,0.0649137133325455,NA,"-1.87146293343767","0.0615777744972101",NA,NA,"2464.07591368157","2465.60153387692",NA,NA,0.173103235553455,0.204985714973079
"cvda_4gp2","pHI (binarized)",4.40718326837267,1.16224705064886e-05,"0.0319432465686964","4.41696072508741","1.11201080516615e-05","0.0314606631304696","0.475432537866706","2468.25475183214","2469.81038787981","0.713941977526178","0.475432537866682",0.000139469646077863,0.000133441296619938
"cvda_4gp2","pTS (binarized)",-0.570757084017581,0.568294631577499,NA,"-0.612011702108483","0.540671542070309",NA,NA,"2468.25475183214","2469.81038787981",NA,NA,0.79167317271752,0.792862137630345
"cogn_global","pLI (DEL)",-0.478552779556025,0.632361953101098,"0.0461052533042687","-0.48514199501107","0.627682525624023","0.0833684155486755","1.87979905228153e-10","3182.20897257318","3142.97955118811","-6.4380910898387","1.8797990522814e-10",0.828897460757506,0.792862137630345
"cogn_global","pLI (DUP)",-1.27387963722366,0.203003550384291,NA,"-1.17857173069946","0.238850806235161",NA,NA,"3182.20897257318","3142.97955118811",NA,NA,0.406007100768582,0.477701612470322
"cogn_global","LOEUF (DEL)",-0.748784172425601,0.454164267035114,"0.0484054703061647","-0.746585955890647","0.455490070482368","0.0857152003795856","1.74247346549232e-10","3179.7681081219","3140.38784270377","-6.45007909268118","1.7424734654923e-10",0.778567314917338,0.771229118550138
"cogn_global","LOEUF (DUP)",-1.95358699299993,0.0510300035305769,NA,"-1.93369196490395","0.0534346579425738",NA,NA,"3179.7681081219","3140.38784270377",NA,NA,0.153090010591731,0.197297198557196
"cogn_global","pHI",-0.42411052488024,0.671576884616126,"0.0484025085543076","-0.415768072433906","0.677669465187023","0.0852294424268264","2.27916065590788e-10","3179.77125476301","3140.92484263639","-6.4075595668976","2.27916065590776e-10",0.837357994256108,0.827980197984137
"cogn_global","pTS",-1.98567739948025,0.0473432804209438,NA,"-1.8312049857786","0.0673691440496704",NA,NA,"3179.77125476301","3140.92484263639",NA,NA,0.15149849734702,0.204985714973079
"cogn_global","pHI (binarized)",-0.113700078981,0.909498486765925,"0.0486542850553096","-0.17071411083561","0.864483308861915","0.0849114329816162","3.11178325508057e-10","3179.50372597588","3141.2762440618","-6.35793644372989","3.11178325508071e-10",0.912720306007701,0.894162894972475
"cogn_global","pTS (binarized)",-2.05434377752111,0.0402032028720887,NA,"-1.73373300246024","0.0832755391072238",NA,NA,"3179.50372597588","3141.2762440618",NA,NA,0.14844259522002,0.210380309323513
"cogdx","pLI (DEL)",0.399379702601597,0.689613447454168,NA,"0.492855978092917","0.622114354257374",NA,NA,"1257.45717798277","1225.45298579459","5.68678665986475","1.29452006568436e-08",0.837357994256108,0.792862137630345
"cogdx","pLI (DUP)",1.39803728472711,0.162101871099624,NA,"1.35355035151502","0.175879875727274",NA,NA,"1257.45717798277","1225.45298579459",NA,NA,0.338299557077476,0.367053653691702
"cogdx","LOEUF (DEL)",0.623059356129365,0.533245517183098,NA,"0.709423582217498","0.478061657837892",NA,NA,"1256.00194768392","1224.00566447713","5.68641053638112","1.29737300554404e-08",0.79167317271752,0.771229118550138
"cogdx","LOEUF (DUP)",1.79912960809015,0.0719981810830612,NA,"1.75396694495039","0.0794361712797531",NA,NA,"1256.00194768392","1224.00566447713",NA,NA,0.181890141683523,0.210380309323513
"cogdx","pHI",0.281438329743812,0.778374222767619,NA,"0.375574722470428","0.707233085778117",NA,NA,"1254.92707132663","1223.31227641719","5.654505000022","1.56296048524509e-08",0.892269775478889,0.827980197984137
"cogdx","pTS",2.10061408707113,0.0356748564301107,NA,"1.97560497298587","0.0481995349738078",NA,NA,"1254.92707132663","1223.31227641719",NA,NA,0.142699425720443,0.192798139895231
"cogdx","pHI (binarized)",0.109607949313012,0.912720306007701,NA,"0.264884353967295","0.791098551677453",NA,NA,"1254.79130240804","1223.74523370474","5.60747633795505","2.05298069409845e-08",0.912720306007701,0.871387828338287
"cogdx","pTS (binarized)",2.10682944070207,0.0351323665488012,NA,"1.82283376793939","0.068328571657693",NA,NA,"1254.79130240804","1223.74523370474",NA,NA,0.142699425720443,0.204985714973079
